epoch,accuracy,loss,val_accuracy,val_loss
0,0.4971952438354492,1.3776592016220093,0.4976314902305603,1.3763238191604614
1,0.5016394257545471,1.3666940927505493,0.49916011095046997,1.3744114637374878
2,0.5036849975585938,1.3606141805648804,0.4997372031211853,1.3720217943191528
3,0.5053647756576538,1.3564008474349976,0.5006647109985352,1.3717519044876099
4,0.5066056847572327,1.3534501791000366,0.4999020993709564,1.371519923210144
5,0.5079548358917236,1.3510764837265015,0.5014376044273376,1.3699277639389038
6,0.5083180665969849,1.3490631580352783,0.5005135536193848,1.3708361387252808
7,0.5090832710266113,1.3474498987197876,0.5011009573936462,1.3717613220214844
8,0.5093546509742737,1.3462727069854736,0.5003039836883545,1.3726820945739746
9,0.509874165058136,1.3453620672225952,0.5009188652038574,1.3707764148712158
10,0.5104779005050659,1.3443338871002197,0.4999639391899109,1.3736886978149414
11,0.5107819437980652,1.343351125717163,0.5011215806007385,1.3726119995117188
12,0.5111469030380249,1.3426132202148438,0.4992665946483612,1.3744744062423706
13,0.5112061500549316,1.3421458005905151,0.49955514073371887,1.3734991550445557
14,0.5113401412963867,1.3416461944580078,0.500091016292572,1.3726075887680054
15,0.511674165725708,1.3408993482589722,0.5000876188278198,1.3758318424224854
16,0.5119000673294067,1.3405249118804932,0.4999845325946808,1.3754515647888184
17,0.5120717883110046,1.3403143882751465,0.49936622381210327,1.3770134449005127
18,0.5122014880180359,1.3400958776474,0.5002353191375732,1.3753587007522583
19,0.5125775933265686,1.3395417928695679,0.49957919120788574,1.3765251636505127
20,0.5125982165336609,1.3395607471466064,0.5003417730331421,1.3773695230484009
21,0.512423038482666,1.339125633239746,0.5001975297927856,1.3780360221862793
22,0.5128352642059326,1.338721752166748,0.4993387460708618,1.3783061504364014
23,0.5128859281539917,1.3388283252716064,0.5002181529998779,1.3765506744384766
24,0.5131787657737732,1.3383517265319824,0.4996410310268402,1.380085825920105
